iter	Logloss
0	0.6896477493
1	0.687109977
2	0.6849870108
3	0.6828866546
4	0.6796428063
5	0.6766282056
6	0.6742505097
7	0.671734808
8	0.6700730933
9	0.668070357
10	0.6666471512
11	0.6641995328
12	0.6620622334
13	0.6599943336
14	0.6585435595
15	0.6571144472
16	0.6553125162
17	0.6540587444
18	0.6524089358
19	0.6509602311
20	0.6489831908
21	0.6476337858
22	0.6461790625
23	0.644678943
24	0.6429286948
25	0.6413137442
26	0.640385224
27	0.6394099393
28	0.6381408335
29	0.6364648764
30	0.6352214663
31	0.6338330861
32	0.6329615054
33	0.6313751753
34	0.629997134
35	0.6280509228
36	0.6271210406
37	0.6259606223
38	0.6248996273
39	0.6233616253
40	0.6225900653
41	0.6211535474
42	0.6204094464
43	0.6191551061
44	0.6180894524
45	0.6170077021
46	0.6162991782
47	0.6149782215
48	0.6139846265
49	0.6127757738
50	0.6112642083
51	0.6106035958
52	0.6096793788
53	0.6088550297
54	0.607374311
55	0.6065668326
56	0.6062232376
57	0.6056442653
58	0.6042205946
59	0.6034601279
60	0.6024108687
61	0.6014690875
62	0.6007211689
63	0.5998522038
64	0.5993205236
65	0.5983583437
66	0.5977355428
67	0.5971098425
68	0.5960836425
69	0.5948520906
70	0.5931659759
71	0.5920302446
72	0.5905462676
73	0.5897101927
74	0.5887105566
75	0.5878161871
76	0.5869451938
77	0.5856004281
78	0.5843394799
79	0.5829461267
80	0.582249329
81	0.5815954325
82	0.5805827497
83	0.5801197402
84	0.5792639119
85	0.5786629151
86	0.5775147187
87	0.5771325396
88	0.576517499
89	0.575840703
90	0.5750489448
91	0.5740395206
92	0.5735442854
93	0.572918521
94	0.5724791212
95	0.5717329979
96	0.5709386721
97	0.5699464628
98	0.5695066911
99	0.5688342386
100	0.568437424
101	0.5671886144
102	0.5665224813
103	0.5656001434
104	0.5643635175
105	0.5636204293
106	0.5625814487
107	0.5620532048
108	0.5613152177
109	0.5608521607
110	0.5598182588
111	0.558673114
112	0.5581008679
113	0.5575286677
114	0.5566898063
115	0.5558870915
116	0.5550356387
117	0.5544010385
118	0.5534331665
119	0.5525170556
120	0.5518015974
121	0.5512543509
122	0.550855997
123	0.5499326629
124	0.5492876339
125	0.5485962778
126	0.5477962276
127	0.5469305513
128	0.5460580635
129	0.5452047193
130	0.5442025209
131	0.5432602408
132	0.5421343154
133	0.5418511746
134	0.5408851209
135	0.5403671696
136	0.5394462855
137	0.5387754358
138	0.537559245
139	0.5367053839
140	0.5356663803
141	0.5348766843
142	0.5340446896
143	0.533320284
144	0.5322171188
145	0.5307546016
146	0.5301746887
147	0.5292720409
148	0.5283861874
149	0.5272424915
150	0.5260447308
151	0.5249655951
152	0.5241645308
153	0.5234608941
154	0.5227922286
155	0.5217391344
156	0.5212524628
157	0.5205737284
158	0.5201535548
159	0.5195670327
160	0.5181354102
161	0.5175976229
162	0.5166375723
163	0.5158410226
164	0.5147130972
165	0.513988218
166	0.5132731621
167	0.5125817653
168	0.5120819371
169	0.511555543
170	0.5103862984
171	0.5097028709
172	0.5082908145
173	0.5075657654
174	0.5071520757
175	0.5060949314
176	0.5052843765
177	0.5044692437
178	0.5034704013
179	0.5029263144
180	0.5014361222
181	0.5006301794
182	0.4999846476
183	0.4989909585
184	0.4980271706
185	0.497031197
186	0.4961627044
187	0.4953169663
188	0.494519761
189	0.4937897068
190	0.492800446
191	0.4917529841
192	0.4909147695
193	0.490010991
194	0.4894133541
195	0.4885765647
196	0.4878550328
197	0.486881226
198	0.4856708501
199	0.4848954695
