iter	Passed	Remaining
0	6	1323
1	13	1308
2	19	1286
3	26	1280
4	32	1269
5	40	1301
6	46	1288
7	53	1279
8	60	1283
9	68	1301
10	75	1296
11	82	1290
12	89	1283
13	95	1273
14	103	1274
15	110	1266
16	116	1257
17	123	1248
18	130	1241
19	137	1236
20	144	1230
21	151	1227
22	159	1228
23	166	1223
24	173	1213
25	180	1205
26	187	1200
27	194	1196
28	201	1186
29	208	1180
30	214	1171
31	221	1163
32	228	1156
33	235	1150
34	242	1143
35	249	1136
36	256	1129
37	263	1123
38	270	1116
39	277	1109
40	284	1101
41	291	1094
42	297	1088
43	305	1081
44	312	1075
45	319	1069
46	326	1063
47	333	1054
48	339	1047
49	347	1041
50	353	1033
51	360	1026
52	368	1020
53	375	1014
54	382	1007
55	388	999
56	395	991
57	402	984
58	408	976
59	415	968
60	422	962
61	429	955
62	437	950
63	443	943
64	451	936
65	457	929
66	465	923
67	472	916
68	479	909
69	486	903
70	493	897
71	501	890
72	508	884
73	515	878
74	522	871
75	529	864
76	537	858
77	546	854
78	553	848
79	560	841
80	568	835
81	575	828
82	582	821
83	589	814
84	596	807
85	603	799
86	610	792
87	617	785
88	623	777
89	630	770
90	636	762
91	643	755
92	659	758
93	666	751
94	672	743
95	679	736
96	686	728
97	693	721
98	699	714
99	706	706
100	713	699
101	720	692
102	727	684
103	734	677
104	741	670
105	747	663
106	754	655
107	760	648
108	768	641
109	775	634
110	782	627
111	789	620
112	796	613
113	803	606
114	809	598
115	816	591
116	823	583
117	830	577
118	836	569
119	844	562
120	850	555
121	857	548
122	863	540
123	870	533
124	877	526
125	884	519
126	891	512
127	898	505
128	906	499
129	913	492
130	921	485
131	928	478
132	935	471
133	943	464
134	951	458
135	958	451
136	966	444
137	973	437
138	980	430
139	987	423
140	995	416
141	1002	409
142	1010	402
143	1017	395
144	1024	388
145	1031	381
146	1038	374
147	1045	367
148	1051	360
149	1058	352
150	1065	345
151	1072	338
152	1078	331
153	1085	324
154	1092	317
155	1100	310
156	1106	303
157	1113	296
158	1120	288
159	1126	281
160	1133	274
161	1140	267
162	1147	260
163	1154	253
164	1161	246
165	1168	239
166	1175	232
167	1181	225
168	1188	218
169	1195	210
170	1202	203
171	1210	196
172	1216	189
173	1223	182
174	1230	175
175	1237	168
176	1244	161
177	1251	154
178	1257	147
179	1264	140
180	1271	133
181	1278	126
182	1285	119
183	1292	112
184	1299	105
185	1305	98
186	1312	91
187	1318	84
188	1325	77
189	1332	70
190	1339	63
191	1346	56
192	1353	49
193	1360	42
194	1366	35
195	1374	28
196	1380	21
197	1387	14
198	1394	7
199	1401	0
