date,USA_central_bank_rate_value,USA_central_bank_rate_days_since_update,UK_central_bank_rate_value,UK_central_bank_rate_days_since_update,UK_central_bank_rate_value_sqrt,USA_central_bank_rate_value_sqrt
2014-01-01,,,,,,
2014-01-02,0.07,0.0,,,,0.2645751311064591
2014-01-03,0.08,0.0,,,,0.282842712474619
2014-01-06,0.08,0.0,,,,0.282842712474619
2014-01-07,0.08,0.0,,,,0.282842712474619
2014-01-08,0.07,0.0,,,,0.2645751311064591
2014-01-09,0.07,0.0,,,,0.2645751311064591
2014-01-10,0.07,0.0,,,,0.2645751311064591
2014-01-13,0.07,0.0,,,,0.2645751311064591
2014-01-14,0.07,0.0,,,,0.2645751311064591
2014-01-15,0.07,0.0,,,,0.2645751311064591
2014-01-16,0.07,0.0,,,,0.2645751311064591
2014-01-17,0.07,0.0,,,,0.2645751311064591
2014-01-20,0.07,3.0,,,,0.2645751311064591
2014-01-21,0.07,4.0,,,,0.2645751311064591
2014-01-22,0.07,0.0,,,,0.2645751311064591
2014-01-23,0.07,0.0,,,,0.2645751311064591
2014-01-24,0.07,0.0,,,,0.2645751311064591
2014-01-27,0.07,0.0,,,,0.2645751311064591
2014-01-28,0.07,0.0,,,,0.2645751311064591
2014-01-29,0.07,0.0,,,,0.2645751311064591
2014-01-30,0.07,0.0,,,,0.2645751311064591
2014-01-31,0.07,0.0,,,,0.2645751311064591
2014-02-03,0.07,0.0,,,,0.2645751311064591
2014-02-04,0.07,0.0,,,,0.2645751311064591
2014-02-05,0.07,0.0,,,,0.2645751311064591
2014-02-06,0.07,0.0,,,,0.2645751311064591
2014-02-07,0.07,0.0,,,,0.2645751311064591
2014-02-10,0.06,0.0,,,,0.2449489742783178
2014-02-11,0.06,0.0,,,,0.2449489742783178
2014-02-12,0.06,0.0,,,,0.2449489742783178
2014-02-13,0.06,1.0,,,,0.2449489742783178
2014-02-14,0.06,0.0,,,,0.2449489742783178
2014-02-17,0.06,3.0,,,,0.2449489742783178
2014-02-18,0.06,0.0,,,,0.2449489742783178
2014-02-19,0.07,0.0,,,,0.2645751311064591
2014-02-20,0.07,0.0,,,,0.2645751311064591
2014-02-21,0.07,0.0,,,,0.2645751311064591
2014-02-24,0.07,0.0,,,,0.2645751311064591
2014-02-25,0.07,0.0,,,,0.2645751311064591
2014-02-26,0.07,0.0,,,,0.2645751311064591
2014-02-27,0.07,0.0,,,,0.2645751311064591
2014-02-28,0.07,0.0,,,,0.2645751311064591
2014-03-03,0.07,3.0,,,,0.2645751311064591
2014-03-04,0.07,0.0,,,,0.2645751311064591
2014-03-05,0.07,0.0,,,,0.2645751311064591
2014-03-06,0.08,0.0,,,,0.282842712474619
2014-03-07,0.08,0.0,,,,0.282842712474619
2014-03-10,0.08,0.0,,,,0.282842712474619
2014-03-11,0.08,0.0,,,,0.282842712474619
2014-03-12,0.08,0.0,,,,0.282842712474619
2014-03-13,0.08,0.0,,,,0.282842712474619
2014-03-14,0.08,0.0,,,,0.282842712474619
2014-03-17,0.08,3.0,,,,0.282842712474619
2014-03-18,0.08,0.0,,,,0.282842712474619
2014-03-19,0.08,0.0,,,,0.282842712474619
