date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2014-01-01,,,99.1,20,,,,,
2014-01-02,,,99.1,21,,,,,
2014-01-03,,,99.1,22,,,,,
2014-01-06,,,99.1,25,,,,,
2014-01-07,,,99.1,26,,,,,
2014-01-08,,,99.1,27,,,,,
2014-01-09,,,99.1,28,,,,,
2014-01-10,,,99.1,29,,,,,
2014-01-13,,,99.2,2,,,,,
2014-01-14,,,99.2,3,,,,,
2014-01-15,,,99.2,4,,,,,
2014-01-16,,,99.2,5,,,,,
2014-01-17,,,99.2,6,,,,,
2014-01-20,,,99.2,9,,,,,
2014-01-21,,,99.2,10,,,,,
2014-01-22,,,99.2,11,,,,,
2014-01-23,,,99.2,12,,,,,
2014-01-24,,,99.2,13,,,,,
2014-01-27,,,99.2,16,,,,,
2014-01-28,,,99.2,17,,,,,
2014-01-29,,,99.2,18,,,,,
2014-01-30,,,99.2,19,,,,,
2014-01-31,,,99.2,20,,,,,
2014-02-03,,,99.2,23,,,,,
2014-02-04,,,99.2,24,,,,,
2014-02-05,,,99.2,25,,,,,
2014-02-06,,,99.2,26,,,,,
2014-02-07,,,99.2,27,,,,,
2014-02-10,,,99.2,30,,,,,
2014-02-11,,,99.6,0,,,,,
2014-02-12,,,99.6,1,,,,,
2014-02-13,,,99.6,2,,,,,
2014-02-14,,,99.6,3,,,,,
2014-02-17,,,99.6,6,,,,,
2014-02-18,,,99.6,7,,,,,
2014-02-19,,,99.6,8,,,,,
2014-02-20,234.933,0.0,99.6,9,,,,,
2014-02-21,234.933,1.0,99.6,10,,,,,
2014-02-24,234.933,4.0,99.6,13,,,,,
2014-02-25,234.933,5.0,99.6,14,,,,,
2014-02-26,234.933,6.0,99.6,15,,,,,
2014-02-27,234.933,7.0,99.6,16,,,,,
2014-02-28,234.933,8.0,99.6,17,,,,,
2014-03-03,234.933,11.0,99.6,20,,,,,
2014-03-04,234.933,12.0,99.6,21,,,,,
2014-03-05,234.933,13.0,99.6,22,,,,,
2014-03-06,234.933,14.0,99.6,23,,,,,
2014-03-07,234.933,15.0,99.6,24,,,,,
2014-03-10,234.933,18.0,99.6,27,,,,,
2014-03-11,234.933,19.0,99.6,28,,,,,
2014-03-12,234.933,20.0,99.6,29,,,,,
2014-03-13,234.933,21.0,99.6,30,,,,,
2014-03-14,234.933,22.0,99.0,0,,,1.9567456230690006,0.0,0.6712826968632066
2014-03-17,234.933,25.0,99.0,3,,,1.9567456230690006,3.0,0.6712826968632066
2014-03-18,235.169,0.0,99.0,4,,,1.9567456230690006,4.0,0.6712826968632066
2014-03-19,235.169,1.0,99.0,5,,,1.9567456230690006,5.0,0.6712826968632066
2014-03-20,235.169,2.0,99.0,6,,,1.9567456230690006,6.0,0.6712826968632066
2014-03-21,235.169,3.0,99.0,7,,,1.9567456230690006,7.0,0.6712826968632066
2014-03-24,235.169,6.0,99.0,10,,,1.9567456230690006,10.0,0.6712826968632066
2014-03-25,235.169,7.0,99.0,11,,,1.9567456230690006,11.0,0.6712826968632066
2014-03-26,235.169,8.0,99.0,12,,,1.9567456230690006,12.0,0.6712826968632066
2014-03-27,235.169,9.0,99.0,13,,,1.9567456230690006,13.0,0.6712826968632066
2014-03-28,235.169,10.0,99.0,14,,,1.9567456230690006,14.0,0.6712826968632066
2014-03-31,235.169,13.0,99.0,17,,,1.9567456230690006,17.0,0.6712826968632066
2014-04-01,235.169,14.0,99.0,18,,,1.9567456230690006,18.0,0.6712826968632066
2014-04-02,235.169,15.0,99.0,19,,,1.9567456230690006,19.0,0.6712826968632066
