date,USA_current_account_value,USA_current_account_days_since_update,UK_current_account_value,UK_current_account_days_since_update
2014-01-01,,,-19933,33
2014-01-02,,,-19933,34
2014-01-03,,,-19933,35
2014-01-06,,,-19933,38
2014-01-07,,,-19933,39
2014-01-08,,,-19933,40
2014-01-09,,,-19933,41
2014-01-10,,,-19933,42
2014-01-13,,,-19933,45
2014-01-14,,,-19933,46
2014-01-15,,,-19933,47
2014-01-16,,,-19933,48
2014-01-17,,,-19933,49
2014-01-20,,,-19933,52
2014-01-21,,,-19933,53
2014-01-22,,,-19933,54
2014-01-23,,,-19933,55
2014-01-24,,,-19933,56
2014-01-27,,,-19933,59
2014-01-28,,,-19933,60
2014-01-29,,,-19933,61
2014-01-30,,,-19933,62
2014-01-31,,,-19933,63
2014-02-03,,,-19933,66
2014-02-04,,,-19933,67
2014-02-05,,,-19933,68
2014-02-06,,,-19933,69
2014-02-07,,,-19933,70
2014-02-10,,,-19933,73
2014-02-11,,,-19933,74
2014-02-12,,,-19933,75
2014-02-13,,,-19933,76
2014-02-14,,,-19933,77
2014-02-17,,,-19933,80
2014-02-18,,,-19933,81
2014-02-19,,,-19933,82
2014-02-20,,,-19933,83
2014-02-21,,,-19933,84
2014-02-24,,,-19933,87
2014-02-25,,,-19933,88
2014-02-26,,,-19933,89
2014-02-27,,,-19933,90
2014-02-28,,,-19933,91
2014-03-03,,,-23851,2
2014-03-04,,,-23851,3
2014-03-05,,,-23851,4
2014-03-06,,,-23851,5
2014-03-07,,,-23851,6
2014-03-10,,,-23851,9
2014-03-11,,,-23851,10
2014-03-12,,,-23851,11
2014-03-13,,,-23851,12
2014-03-14,,,-23851,13
2014-03-17,,,-23851,16
2014-03-18,,,-23851,17
2014-03-19,,,-23851,18
2014-03-20,,,-23851,19
2014-03-21,,,-23851,20
2014-03-24,,,-23851,23
2014-03-25,,,-23851,24
2014-03-26,,,-23851,25
2014-03-27,,,-23851,26
2014-03-28,,,-23851,27
2014-03-31,,,-23851,30
2014-04-01,,,-23851,31
2014-04-02,,,-23851,32
2014-04-03,,,-23851,33
2014-04-04,,,-23851,34
2014-04-07,,,-23851,37
2014-04-08,,,-23851,38
2014-04-09,,,-23851,39
2014-04-10,,,-23851,40
2014-04-11,,,-23851,41
2014-04-14,,,-23851,44
2014-04-15,,,-23851,45
2014-04-16,,,-23851,46
2014-04-17,,,-23851,47
2014-04-18,,,-23851,48
2014-04-21,,,-23851,51
2014-04-22,,,-23851,52
2014-04-23,,,-23851,53
2014-04-24,,,-23851,54
2014-04-25,,,-23851,55
2014-04-28,,,-23851,58
2014-04-29,,,-23851,59
2014-04-30,,,-23851,60
2014-05-01,,,-23851,61
2014-05-02,,,-23851,62
2014-05-05,,,-23851,65
2014-05-06,,,-23851,66
2014-05-07,,,-23851,67
2014-05-08,,,-23851,68
2014-05-09,,,-23851,69
2014-05-12,,,-23851,72
2014-05-13,,,-23851,73
2014-05-14,,,-23851,74
2014-05-15,,,-23851,75
2014-05-16,,,-23851,76
2014-05-19,,,-23851,79
2014-05-20,,,-23851,80
2014-05-21,,,-23851,81
2014-05-22,,,-23851,82
2014-05-23,,,-23851,83
2014-05-26,,,-23851,86
2014-05-27,,,-23851,87
2014-05-28,,,-23851,88
2014-05-29,,,-23851,89
2014-05-30,,,-18200,0
2014-06-02,,,-18200,3
