date,USA_gdp_value,USA_gdp_days_since_update,UK_gdp_value,UK_gdp_days_since_update
2014-01-01,,,588076.0,33
2014-01-02,,,588076.0,34
2014-01-03,,,588076.0,35
2014-01-06,,,588076.0,38
2014-01-07,,,588076.0,39
2014-01-08,,,588076.0,40
2014-01-09,,,588076.0,41
2014-01-10,,,588076.0,42
2014-01-13,,,588076.0,45
2014-01-14,,,588076.0,46
2014-01-15,,,588076.0,47
2014-01-16,,,588076.0,48
2014-01-17,,,588076.0,49
2014-01-20,,,588076.0,52
2014-01-21,,,588076.0,53
2014-01-22,,,588076.0,54
2014-01-23,,,588076.0,55
2014-01-24,,,588076.0,56
2014-01-27,,,588076.0,59
2014-01-28,,,588076.0,60
2014-01-29,,,588076.0,61
2014-01-30,,,588076.0,62
2014-01-31,,,588076.0,63
2014-02-03,,,588076.0,66
2014-02-04,,,588076.0,67
2014-02-05,,,588076.0,68
2014-02-06,,,588076.0,69
2014-02-07,,,588076.0,70
2014-02-10,,,588076.0,73
2014-02-11,,,588076.0,74
2014-02-12,,,588076.0,75
2014-02-13,,,588076.0,76
2014-02-14,,,588076.0,77
2014-02-17,,,588076.0,80
2014-02-18,,,588076.0,81
2014-02-19,,,588076.0,82
2014-02-20,,,588076.0,83
2014-02-21,,,588076.0,84
2014-02-24,,,588076.0,87
2014-02-25,,,588076.0,88
2014-02-26,,,588076.0,89
2014-02-27,,,588076.0,90
2014-02-28,,,588076.0,91
2014-03-03,,,591954.0,2
2014-03-04,,,591954.0,3
2014-03-05,,,591954.0,4
2014-03-06,,,591954.0,5
2014-03-07,,,591954.0,6
2014-03-10,,,591954.0,9
2014-03-11,,,591954.0,10
2014-03-12,,,591954.0,11
2014-03-13,,,591954.0,12
2014-03-14,,,591954.0,13
2014-03-17,,,591954.0,16
2014-03-18,,,591954.0,17
2014-03-19,,,591954.0,18
2014-03-20,,,591954.0,19
2014-03-21,,,591954.0,20
2014-03-24,,,591954.0,23
2014-03-25,,,591954.0,24
2014-03-26,,,591954.0,25
2014-03-27,,,591954.0,26
2014-03-28,,,591954.0,27
2014-03-31,,,591954.0,30
2014-04-01,,,591954.0,31
2014-04-02,,,591954.0,32
2014-04-03,,,591954.0,33
2014-04-04,,,591954.0,34
2014-04-07,,,591954.0,37
2014-04-08,,,591954.0,38
2014-04-09,,,591954.0,39
2014-04-10,,,591954.0,40
2014-04-11,,,591954.0,41
2014-04-14,,,591954.0,44
2014-04-15,,,591954.0,45
2014-04-16,,,591954.0,46
2014-04-17,,,591954.0,47
2014-04-18,,,591954.0,48
2014-04-21,,,591954.0,51
2014-04-22,,,591954.0,52
2014-04-23,,,591954.0,53
2014-04-24,,,591954.0,54
2014-04-25,,,591954.0,55
2014-04-28,,,591954.0,58
2014-04-29,,,591954.0,59
2014-04-30,17149.6,0.0,591954.0,60
2014-05-01,17149.6,1.0,591954.0,61
2014-05-02,17149.6,2.0,591954.0,62
2014-05-05,17149.6,5.0,591954.0,65
2014-05-06,17149.6,6.0,591954.0,66
2014-05-07,17149.6,7.0,591954.0,67
2014-05-08,17149.6,8.0,591954.0,68
2014-05-09,17149.6,9.0,591954.0,69
2014-05-12,17149.6,12.0,591954.0,72
2014-05-13,17149.6,13.0,591954.0,73
2014-05-14,17149.6,14.0,591954.0,74
2014-05-15,17149.6,15.0,591954.0,75
2014-05-16,17149.6,16.0,591954.0,76
2014-05-19,17149.6,19.0,591954.0,79
2014-05-20,17149.6,20.0,591954.0,80
2014-05-21,17149.6,21.0,591954.0,81
2014-05-22,17149.6,22.0,591954.0,82
2014-05-23,17149.6,23.0,591954.0,83
2014-05-26,17149.6,26.0,591954.0,86
2014-05-27,17149.6,27.0,591954.0,87
2014-05-28,17149.6,28.0,591954.0,88
2014-05-29,17101.3,0.0,591954.0,89
2014-05-30,17101.3,1.0,596696.0,0
2014-06-02,17101.3,4.0,596696.0,3
2014-06-03,17101.3,5.0,596696.0,4
2014-06-04,17101.3,6.0,596696.0,5
2014-06-05,17101.3,7.0,596696.0,6
2014-06-06,17101.3,8.0,596696.0,7
2014-06-09,17101.3,11.0,596696.0,10
2014-06-10,17101.3,12.0,596696.0,11
2014-06-11,17101.3,13.0,596696.0,12
2014-06-12,17101.3,14.0,596696.0,13
2014-06-13,17101.3,15.0,596696.0,14
2014-06-16,17101.3,18.0,596696.0,17
2014-06-17,17101.3,19.0,596696.0,18
2014-06-18,17101.3,20.0,596696.0,19
2014-06-19,17101.3,21.0,596696.0,20
2014-06-20,17101.3,22.0,596696.0,21
2014-06-23,17101.3,25.0,596696.0,24
2014-06-24,17101.3,26.0,596696.0,25
2014-06-25,17016.0,0.0,596696.0,26
2014-06-26,17016.0,1.0,596696.0,27
2014-06-27,17016.0,2.0,596696.0,28
2014-06-30,17016.0,5.0,596696.0,31
2014-07-01,17016.0,6.0,596696.0,32
2014-07-02,17016.0,7.0,596696.0,33
2014-07-03,17016.0,8.0,596696.0,34
2014-07-04,17016.0,9.0,596696.0,35
2014-07-07,17016.0,12.0,596696.0,38
2014-07-08,17016.0,13.0,596696.0,39
2014-07-09,17016.0,14.0,596696.0,40
2014-07-10,17016.0,15.0,596696.0,41
2014-07-11,17016.0,16.0,596696.0,42
2014-07-14,17016.0,19.0,596696.0,45
2014-07-15,17016.0,20.0,596696.0,46
2014-07-16,17016.0,21.0,596696.0,47
2014-07-17,17016.0,22.0,596696.0,48
2014-07-18,17016.0,23.0,596696.0,49
2014-07-21,17016.0,26.0,596696.0,52
2014-07-22,17016.0,27.0,596696.0,53
2014-07-23,17016.0,28.0,596696.0,54
2014-07-24,17016.0,29.0,596696.0,55
2014-07-25,17016.0,30.0,596696.0,56
2014-07-28,17016.0,33.0,596696.0,59
2014-07-29,17016.0,34.0,596696.0,60
2014-07-30,17044.0,0.0,596696.0,61
2014-07-31,17044.0,1.0,596696.0,62
2014-08-01,17044.0,2.0,596696.0,63
2014-08-04,17044.0,5.0,596696.0,66
2014-08-05,17044.0,6.0,596696.0,67
2014-08-06,17044.0,7.0,596696.0,68
2014-08-07,17044.0,8.0,596696.0,69
2014-08-08,17044.0,9.0,596696.0,70
2014-08-11,17044.0,12.0,596696.0,73
2014-08-12,17044.0,13.0,596696.0,74
2014-08-13,17044.0,14.0,596696.0,75
2014-08-14,17044.0,15.0,596696.0,76
2014-08-15,17044.0,16.0,596696.0,77
2014-08-18,17044.0,19.0,596696.0,80
2014-08-19,17044.0,20.0,596696.0,81
2014-08-20,17044.0,21.0,596696.0,82
2014-08-21,17044.0,22.0,596696.0,83
2014-08-22,17044.0,23.0,596696.0,84
2014-08-25,17044.0,26.0,596696.0,87
2014-08-26,17044.0,27.0,596696.0,88
2014-08-27,17044.0,28.0,596696.0,89
2014-08-28,17311.3,0.0,596696.0,90
2014-08-29,17311.3,1.0,602310.0,0
2014-09-01,17311.3,4.0,602310.0,3
2014-09-02,17311.3,5.0,602310.0,4
2014-09-03,17311.3,6.0,602310.0,5
2014-09-04,17311.3,7.0,602310.0,6
2014-09-05,17311.3,8.0,602310.0,7
2014-09-08,17311.3,11.0,602310.0,10
2014-09-09,17311.3,12.0,602310.0,11
2014-09-10,17311.3,13.0,602310.0,12
2014-09-11,17311.3,14.0,602310.0,13
2014-09-12,17311.3,15.0,602310.0,14
2014-09-15,17311.3,18.0,602310.0,17
2014-09-16,17311.3,19.0,602310.0,18
2014-09-17,17311.3,20.0,602310.0,19
2014-09-18,17311.3,21.0,602310.0,20
2014-09-19,17311.3,22.0,602310.0,21
2014-09-22,17311.3,25.0,602310.0,24
2014-09-23,17311.3,26.0,602310.0,25
2014-09-24,17311.3,27.0,602310.0,26
2014-09-25,17311.3,28.0,602310.0,27
2014-09-26,17328.2,0.0,602310.0,28
2014-09-29,17328.2,3.0,602310.0,31
2014-09-30,17328.2,4.0,602310.0,32
2014-10-01,17328.2,5.0,602310.0,33
2014-10-02,17328.2,6.0,602310.0,34
