date,realtime_start,value
2014-08-01,2014-11-03,0.4228
2014-09-01,2014-11-03,0.4319
2014-07-01,2014-11-03,0.4283
2014-05-01,2014-11-03,0.4233
2014-06-01,2014-11-03,0.4251
2014-03-01,2014-11-03,0.4159
2014-02-01,2014-11-03,0.4197
2014-01-01,2014-11-03,0.4287
2014-04-01,2014-11-03,0.422
2014-10-01,2014-12-01,0.4314
2014-11-01,2015-01-02,0.4326
2014-07-01,2015-01-06,0.4283
2014-08-01,2015-01-06,0.4228
2014-09-01,2015-01-06,0.4319
2014-10-01,2015-01-06,0.4314
2014-11-01,2015-01-06,0.4326
2014-01-01,2015-01-06,0.4287
2014-02-01,2015-01-06,0.4197
2014-03-01,2015-01-06,0.4159
2014-04-01,2015-01-06,0.422
2014-05-01,2015-01-06,0.4233
2014-06-01,2015-01-06,0.4251
2014-12-01,2015-02-03,0.4281
2014-01-01,2015-03-02,0.4289
2015-01-01,2015-03-02,0.435
2014-09-01,2015-04-01,0.4318
2015-02-01,2015-04-01,0.4505
2015-03-01,2015-05-01,0.4566
2014-03-01,2015-06-01,0.42
2014-01-01,2015-06-01,0.43
2014-02-01,2015-06-01,0.42
2014-04-01,2015-06-01,0.42
2014-11-01,2015-06-01,0.43
2014-10-01,2015-06-01,0.43
2015-03-01,2015-06-01,0.46
2014-09-01,2015-06-01,0.43
2015-04-01,2015-06-01,0.46
2015-02-01,2015-06-01,0.45
2015-01-01,2015-06-01,0.44
2015-05-01,2015-06-01,0.46
2014-12-01,2015-06-01,0.43
2014-08-01,2015-06-01,0.42
2014-05-01,2015-06-01,0.42
2014-06-01,2015-06-01,0.43
2014-07-01,2015-06-01,0.43
2015-06-01,2015-07-01,0.46
2015-07-01,2015-08-03,0.46
2015-07-01,2015-09-01,0.45
2015-08-01,2015-09-01,0.46
2015-09-01,2015-10-01,0.46
2015-09-01,2015-11-02,0.45
2015-10-01,2015-11-02,0.46
2015-11-01,2015-12-01,0.46
2015-12-01,2016-01-04,0.46
2016-01-01,2016-02-01,0.47
2016-02-01,2016-03-01,0.47
2016-03-01,2016-04-01,0.46
2016-04-01,2016-06-01,0.47
2016-05-01,2016-06-01,0.46
2016-06-01,2016-07-01,0.46
2016-07-01,2016-08-01,0.46
2016-08-01,2016-09-01,0.25
2016-09-01,2016-10-03,0.21
2016-10-01,2016-11-01,0.21
2016-11-01,2016-12-01,0.21
2016-12-01,2017-01-03,0.21
2017-01-01,2017-02-01,0.21
2017-02-01,2017-03-01,0.21
2017-03-01,2017-04-03,0.21
2017-04-01,2017-05-01,0.21
2017-05-01,2017-07-03,0.21
2017-06-01,2017-07-03,0.21
2017-08-01,2017-09-01,0.21
2017-07-01,2017-09-01,0.21
2017-09-01,2017-10-02,0.21
2017-10-01,2017-11-01,0.21
2017-11-01,2017-12-01,0.45
2017-07-01,2018-01-02,0.2124
2014-08-01,2018-01-02,0.4228
2017-11-01,2018-01-02,0.4493
2015-08-01,2018-01-02,0.459
2017-01-01,2018-01-02,0.2253
2016-06-01,2018-01-02,0.4597
2017-12-01,2018-01-02,0.4619
2014-07-01,2018-01-02,0.4283
2016-12-01,2018-01-02,0.2125
2015-11-01,2018-01-02,0.4636
2014-04-01,2018-01-02,0.422
2014-03-01,2018-01-02,0.4159
2016-10-01,2018-01-02,0.212
2014-02-01,2018-01-02,0.4197
2014-05-01,2018-01-02,0.4233
2016-08-01,2018-01-02,0.2478
2014-01-01,2018-01-02,0.4287
2015-10-01,2018-01-02,0.4622
2014-06-01,2018-01-02,0.4251
2016-11-01,2018-01-02,0.2108
2015-12-01,2018-01-02,0.4575
2015-09-01,2018-01-02,0.4544
2016-07-01,2018-01-02,0.4577
2017-02-01,2018-01-02,0.2106
2014-09-01,2018-01-02,0.4319
2016-01-01,2018-01-02,0.4659
2016-09-01,2018-01-02,0.213
2016-02-01,2018-01-02,0.4657
2017-06-01,2018-01-02,0.2121
2015-04-01,2018-01-02,0.4574
2017-05-01,2018-01-02,0.2126
2015-01-01,2018-01-02,0.4355
2017-08-01,2018-01-02,0.2132
2016-03-01,2018-01-02,0.4646
2015-02-01,2018-01-02,0.4511
2015-03-01,2018-01-02,0.4568
2015-07-01,2018-01-02,0.4549
2015-05-01,2018-01-02,0.462
2017-10-01,2018-01-02,0.211
2016-05-01,2018-01-02,0.4633
2016-04-01,2018-01-02,0.4663
2017-03-01,2018-01-02,0.2095
2015-06-01,2018-01-02,0.4566
2017-04-01,2018-01-02,0.2114
2014-11-01,2018-01-02,0.4325
2017-09-01,2018-01-02,0.2123
2014-10-01,2018-01-02,0.4308
2014-12-01,2018-01-02,0.428
2015-06-01,2018-01-07,0.4566
2015-05-01,2018-01-07,0.462
2015-04-01,2018-01-07,0.4574
2015-03-01,2018-01-07,0.4568
2015-02-01,2018-01-07,0.4511
2015-01-01,2018-01-07,0.4355
2014-12-01,2018-01-07,0.428
2014-11-01,2018-01-07,0.4325
2014-10-01,2018-01-07,0.4308
2014-09-01,2018-01-07,0.4319
2014-08-01,2018-01-07,0.4228
2014-07-01,2018-01-07,0.4283
2015-07-01,2018-01-07,0.4549
2014-06-01,2018-01-07,0.4251
2014-04-01,2018-01-07,0.422
2014-03-01,2018-01-07,0.4159
2014-02-01,2018-01-07,0.4197
2014-01-01,2018-01-07,0.4287
2014-05-01,2018-01-07,0.4233
2015-08-01,2018-01-07,0.459
2015-10-01,2018-01-07,0.4622
2017-12-01,2018-01-07,0.4619
2017-11-01,2018-01-07,0.4493
2017-10-01,2018-01-07,0.211
2017-09-01,2018-01-07,0.2123
2017-08-01,2018-01-07,0.2132
