date,realtime_start,value
2013-01-01,2013-03-14,97.1
2013-02-01,2013-04-11,97.8
2013-03-01,2013-05-12,98.1
2013-04-01,2013-06-11,98.3
2013-05-01,2013-07-12,98.5
2013-06-01,2013-08-11,98.3
2013-07-01,2013-09-11,98.3
2013-08-01,2013-10-12,98.7
2013-09-01,2013-11-11,99.1
2013-10-01,2013-12-12,99.1
2013-11-01,2014-01-11,99.2
2013-12-01,2014-02-11,99.6
2014-01-01,2014-03-14,99.0
2014-02-01,2014-04-11,99.5
2014-03-01,2014-05-12,99.7
2014-04-01,2014-06-11,100.1
2014-05-01,2014-07-12,100.0
2014-06-01,2014-08-11,100.2
2014-07-01,2014-09-11,99.9
2014-08-01,2014-10-12,100.2
2014-09-01,2014-11-11,100.3
2014-10-01,2014-12-12,100.4
2014-11-01,2015-01-11,100.1
2014-12-01,2015-02-11,100.1
2015-01-01,2015-03-14,99.3
2015-02-01,2015-04-11,99.5
2015-03-01,2015-05-12,99.7
2015-04-01,2015-06-11,99.9
2015-05-01,2015-07-12,100.1
2015-06-01,2015-08-11,100.2
2015-07-01,2015-09-11,100.0
2015-08-01,2015-10-12,100.3
2015-09-01,2015-11-11,100.2
2015-10-01,2015-12-12,100.3
2015-11-01,2016-01-11,100.3
2015-12-01,2016-02-11,100.3
2016-01-01,2016-03-13,99.5
2016-02-01,2016-04-11,99.8
2016-03-01,2016-05-12,100.2
2016-04-01,2016-06-11,100.2
2016-05-01,2016-07-12,100.4
2016-06-01,2016-08-11,100.6
2016-07-01,2016-09-11,100.6
2016-08-01,2016-10-12,100.9
2016-09-01,2016-11-11,101.1
2016-10-01,2016-12-12,101.2
2016-11-01,2017-01-11,101.4
2016-12-01,2017-02-11,101.9
2017-01-01,2017-03-14,101.4
2017-02-01,2017-04-11,102.1
2017-03-01,2017-05-12,102.5
2017-04-01,2017-06-11,102.9
2017-05-01,2017-07-12,103.3
2017-06-01,2017-08-11,103.3
2017-07-01,2017-09-11,103.2
2017-08-01,2017-10-12,103.8
2017-09-01,2017-11-11,104.1
2017-10-01,2017-12-12,104.2
2017-11-01,2018-01-11,104.6
2017-12-01,2018-02-11,104.9
2018-01-01,2018-03-14,104.4
2018-02-01,2018-04-11,104.9
2018-03-01,2018-05-12,105.0
2018-04-01,2018-06-11,105.4
2018-05-01,2018-07-12,105.8
2018-06-01,2018-08-11,105.8
2018-07-01,2018-09-11,105.8
2018-08-01,2018-10-12,106.5
2018-09-01,2018-11-11,106.6
2018-10-01,2018-12-12,106.7
2018-11-01,2019-01-11,107.0
2018-12-01,2019-02-11,107.1
2019-01-01,2019-03-14,106.3
2019-02-01,2019-04-11,106.8
2019-03-01,2019-05-12,107.0
2019-04-01,2019-06-11,107.6
2019-05-01,2019-07-12,107.9
2019-06-01,2019-08-11,107.9
2019-07-01,2019-09-11,107.9
2019-08-01,2019-10-12,108.4
2019-09-01,2019-11-11,108.5
2019-10-01,2019-12-12,108.3
2019-11-01,2020-01-11,108.5
2019-12-01,2020-02-11,108.5
2020-01-01,2020-03-13,108.2
2020-02-01,2020-04-11,108.6
2020-03-01,2020-05-12,108.6
2020-04-01,2020-06-11,108.5
2020-05-01,2020-07-12,108.5
2020-06-01,2020-08-11,108.6
2020-07-01,2020-09-11,109.1
2020-08-01,2020-10-12,108.6
2020-09-01,2020-11-11,109.1
2020-10-01,2020-12-12,109.1
2020-11-01,2021-01-11,108.9
2020-12-01,2021-02-11,109.2
2021-01-01,2021-03-14,109.0
2021-02-01,2021-04-11,109.1
2021-03-01,2021-05-12,109.4
2021-04-01,2021-06-11,110.1
2021-05-01,2021-07-12,110.8
2021-06-01,2021-08-11,111.3
2021-07-01,2021-09-11,111.3
2021-08-01,2021-10-12,112.1
2021-09-01,2021-11-11,112.4
2021-10-01,2021-12-12,113.6
2021-11-01,2022-01-11,114.5
2021-12-01,2022-02-11,115.1
2022-01-01,2022-03-14,114.9
2022-02-01,2022-04-11,115.8
2022-03-01,2022-05-12,117.1
2022-04-01,2022-06-11,120.0
2022-05-01,2022-07-12,120.8
2022-06-01,2022-08-11,121.8
2022-07-01,2022-09-11,122.5
2022-08-01,2022-10-12,123.1
2022-09-01,2022-11-11,123.8
2022-10-01,2022-12-12,126.2
2022-11-01,2023-01-11,126.7
2022-12-01,2023-02-11,127.2
2023-01-01,2023-03-14,126.4
2023-02-01,2023-04-11,127.9
2023-03-01,2023-05-12,128.9
2023-04-01,2023-06-11,130.4
2023-05-01,2023-07-12,131.3
2023-06-01,2023-08-11,131.5
2023-07-01,2023-09-11,130.9
2023-08-01,2023-10-12,131.3
2023-09-01,2023-11-11,132.0
2023-10-01,2023-12-12,132.0
2023-11-01,2024-01-11,131.7
2023-12-01,2024-02-11,132.2
2024-01-01,2024-03-13,131.5
2024-02-01,2024-04-11,132.3
2024-03-01,2024-05-12,133.0
2024-04-01,2024-06-11,133.5
2024-05-01,2024-07-12,133.9
2024-06-01,2024-08-11,134.1
2024-07-01,2024-09-11,133.8
2024-08-01,2024-10-12,134.3
2024-09-01,2024-11-11,134.2
2024-10-01,2024-12-12,135.0
2024-11-01,2025-01-11,135.1
2024-12-01,2025-02-11,135.6
2025-01-01,2025-03-14,135.4
2025-02-01,2025-04-11,136.0
2025-03-01,2025-05-12,136.5
2025-04-01,2025-06-11,138.2
2025-05-01,2025-07-12,138.4
2025-06-01,2025-08-11,138.9
2025-07-01,2025-09-11,139.0
2025-08-01,2025-10-12,139.3
2025-09-01,2025-11-11,139.3
2025-10-01,2025-12-12,139.8
2025-11-01,2026-01-11,139.5
2025-12-01,2026-02-11,140.1
2026-01-01,2026-03-14,139.5
2026-02-01,2026-04-11,140.1
2026-03-01,2026-05-12,141.0
2026-04-01,2026-06-11,142.1
2026-05-01,2026-07-12,142.4
