date,realtime_start,value
2013-01-01,2026-06-16 23:00:00+00:00,97.1
2013-02-01,2026-06-16 23:00:00+00:00,97.8
2013-03-01,2026-06-16 23:00:00+00:00,98.1
2013-04-01,2026-06-16 23:00:00+00:00,98.3
2013-05-01,2026-06-16 23:00:00+00:00,98.5
2013-06-01,2026-06-16 23:00:00+00:00,98.3
2013-07-01,2026-06-16 23:00:00+00:00,98.3
2013-08-01,2026-06-16 23:00:00+00:00,98.7
2013-09-01,2026-06-16 23:00:00+00:00,99.1
2013-10-01,2026-06-16 23:00:00+00:00,99.1
2013-11-01,2026-06-16 23:00:00+00:00,99.2
2013-12-01,2026-06-16 23:00:00+00:00,99.6
2014-01-01,2026-06-16 23:00:00+00:00,99.0
2014-02-01,2026-06-16 23:00:00+00:00,99.5
2014-03-01,2026-06-16 23:00:00+00:00,99.7
2014-04-01,2026-06-16 23:00:00+00:00,100.1
2014-05-01,2026-06-16 23:00:00+00:00,100.0
2014-06-01,2026-06-16 23:00:00+00:00,100.2
2014-07-01,2026-06-16 23:00:00+00:00,99.9
2014-08-01,2026-06-16 23:00:00+00:00,100.2
2014-09-01,2026-06-16 23:00:00+00:00,100.3
2014-10-01,2026-06-16 23:00:00+00:00,100.4
2014-11-01,2026-06-16 23:00:00+00:00,100.1
2014-12-01,2026-06-16 23:00:00+00:00,100.1
2015-01-01,2026-06-16 23:00:00+00:00,99.3
2015-02-01,2026-06-16 23:00:00+00:00,99.5
2015-03-01,2026-06-16 23:00:00+00:00,99.7
2015-04-01,2026-06-16 23:00:00+00:00,99.9
2015-05-01,2026-06-16 23:00:00+00:00,100.1
2015-06-01,2026-06-16 23:00:00+00:00,100.2
2015-07-01,2026-06-16 23:00:00+00:00,100.0
2015-08-01,2026-06-16 23:00:00+00:00,100.3
2015-09-01,2026-06-16 23:00:00+00:00,100.2
2015-10-01,2026-06-16 23:00:00+00:00,100.3
2015-11-01,2026-06-16 23:00:00+00:00,100.3
2015-12-01,2026-06-16 23:00:00+00:00,100.3
2016-01-01,2026-06-16 23:00:00+00:00,99.5
2016-02-01,2026-06-16 23:00:00+00:00,99.8
2016-03-01,2026-06-16 23:00:00+00:00,100.2
2016-04-01,2026-06-16 23:00:00+00:00,100.2
2016-05-01,2026-06-16 23:00:00+00:00,100.4
2016-06-01,2026-06-16 23:00:00+00:00,100.6
2016-07-01,2026-06-16 23:00:00+00:00,100.6
2016-08-01,2026-06-16 23:00:00+00:00,100.9
2016-09-01,2026-06-16 23:00:00+00:00,101.1
2016-10-01,2026-06-16 23:00:00+00:00,101.2
2016-11-01,2026-06-16 23:00:00+00:00,101.4
2016-12-01,2026-06-16 23:00:00+00:00,101.9
2017-01-01,2026-06-16 23:00:00+00:00,101.4
2017-02-01,2026-06-16 23:00:00+00:00,102.1
2017-03-01,2026-06-16 23:00:00+00:00,102.5
2017-04-01,2026-06-16 23:00:00+00:00,102.9
2017-05-01,2026-06-16 23:00:00+00:00,103.3
2017-06-01,2026-06-16 23:00:00+00:00,103.3
2017-07-01,2026-06-16 23:00:00+00:00,103.2
2017-08-01,2026-06-16 23:00:00+00:00,103.8
2017-09-01,2026-06-16 23:00:00+00:00,104.1
2017-10-01,2026-06-16 23:00:00+00:00,104.2
2017-11-01,2026-06-16 23:00:00+00:00,104.6
2017-12-01,2026-06-16 23:00:00+00:00,104.9
2018-01-01,2026-06-16 23:00:00+00:00,104.4
2018-02-01,2026-06-16 23:00:00+00:00,104.9
2018-03-01,2026-06-16 23:00:00+00:00,105.0
2018-04-01,2026-06-16 23:00:00+00:00,105.4
2018-05-01,2026-06-16 23:00:00+00:00,105.8
2018-06-01,2026-06-16 23:00:00+00:00,105.8
2018-07-01,2026-06-16 23:00:00+00:00,105.8
2018-08-01,2026-06-16 23:00:00+00:00,106.5
2018-09-01,2026-06-16 23:00:00+00:00,106.6
2018-10-01,2026-06-16 23:00:00+00:00,106.7
2018-11-01,2026-06-16 23:00:00+00:00,107.0
2018-12-01,2026-06-16 23:00:00+00:00,107.1
2019-01-01,2026-06-16 23:00:00+00:00,106.3
2019-02-01,2026-06-16 23:00:00+00:00,106.8
2019-03-01,2026-06-16 23:00:00+00:00,107.0
2019-04-01,2026-06-16 23:00:00+00:00,107.6
2019-05-01,2026-06-16 23:00:00+00:00,107.9
2019-06-01,2026-06-16 23:00:00+00:00,107.9
2019-07-01,2026-06-16 23:00:00+00:00,107.9
2019-08-01,2026-06-16 23:00:00+00:00,108.4
2019-09-01,2026-06-16 23:00:00+00:00,108.5
2019-10-01,2026-06-16 23:00:00+00:00,108.3
2019-11-01,2026-06-16 23:00:00+00:00,108.5
2019-12-01,2026-06-16 23:00:00+00:00,108.5
2020-01-01,2026-06-16 23:00:00+00:00,108.2
2020-02-01,2026-06-16 23:00:00+00:00,108.6
2020-03-01,2026-06-16 23:00:00+00:00,108.6
2020-04-01,2026-06-16 23:00:00+00:00,108.5
2020-05-01,2026-06-16 23:00:00+00:00,108.5
2020-06-01,2026-06-16 23:00:00+00:00,108.6
2020-07-01,2026-06-16 23:00:00+00:00,109.1
2020-08-01,2026-06-16 23:00:00+00:00,108.6
2020-09-01,2026-06-16 23:00:00+00:00,109.1
2020-10-01,2026-06-16 23:00:00+00:00,109.1
2020-11-01,2026-06-16 23:00:00+00:00,108.9
2020-12-01,2026-06-16 23:00:00+00:00,109.2
2021-01-01,2026-06-16 23:00:00+00:00,109.0
2021-02-01,2026-06-16 23:00:00+00:00,109.1
2021-03-01,2026-06-16 23:00:00+00:00,109.4
2021-04-01,2026-06-16 23:00:00+00:00,110.1
2021-05-01,2026-06-16 23:00:00+00:00,110.8
2021-06-01,2026-06-16 23:00:00+00:00,111.3
2021-07-01,2026-06-16 23:00:00+00:00,111.3
2021-08-01,2026-06-16 23:00:00+00:00,112.1
2021-09-01,2026-06-16 23:00:00+00:00,112.4
2021-10-01,2026-06-16 23:00:00+00:00,113.6
2021-11-01,2026-06-16 23:00:00+00:00,114.5
2021-12-01,2026-06-16 23:00:00+00:00,115.1
2022-01-01,2026-06-16 23:00:00+00:00,114.9
2022-02-01,2026-06-16 23:00:00+00:00,115.8
2022-03-01,2026-06-16 23:00:00+00:00,117.1
2022-04-01,2026-06-16 23:00:00+00:00,120.0
2022-05-01,2026-06-16 23:00:00+00:00,120.8
2022-06-01,2026-06-16 23:00:00+00:00,121.8
2022-07-01,2026-06-16 23:00:00+00:00,122.5
2022-08-01,2026-06-16 23:00:00+00:00,123.1
2022-09-01,2026-06-16 23:00:00+00:00,123.8
2022-10-01,2026-06-16 23:00:00+00:00,126.2
2022-11-01,2026-06-16 23:00:00+00:00,126.7
2022-12-01,2026-06-16 23:00:00+00:00,127.2
2023-01-01,2026-06-16 23:00:00+00:00,126.4
2023-02-01,2026-06-16 23:00:00+00:00,127.9
2023-03-01,2026-06-16 23:00:00+00:00,128.9
2023-04-01,2026-06-16 23:00:00+00:00,130.4
2023-05-01,2026-06-16 23:00:00+00:00,131.3
2023-06-01,2026-06-16 23:00:00+00:00,131.5
2023-07-01,2026-06-16 23:00:00+00:00,130.9
2023-08-01,2026-06-16 23:00:00+00:00,131.3
2023-09-01,2026-06-16 23:00:00+00:00,132.0
2023-10-01,2026-06-16 23:00:00+00:00,132.0
2023-11-01,2026-06-16 23:00:00+00:00,131.7
2023-12-01,2026-06-16 23:00:00+00:00,132.2
2024-01-01,2026-06-16 23:00:00+00:00,131.5
2024-02-01,2026-06-16 23:00:00+00:00,132.3
2024-03-01,2026-06-16 23:00:00+00:00,133.0
2024-04-01,2026-06-16 23:00:00+00:00,133.5
2024-05-01,2026-06-16 23:00:00+00:00,133.9
2024-06-01,2026-06-16 23:00:00+00:00,134.1
2024-07-01,2026-06-16 23:00:00+00:00,133.8
2024-08-01,2026-06-16 23:00:00+00:00,134.3
2024-09-01,2026-06-16 23:00:00+00:00,134.2
2024-10-01,2026-06-16 23:00:00+00:00,135.0
2024-11-01,2026-06-16 23:00:00+00:00,135.1
2024-12-01,2026-06-16 23:00:00+00:00,135.6
2025-01-01,2026-06-16 23:00:00+00:00,135.4
2025-02-01,2026-06-16 23:00:00+00:00,136.0
2025-03-01,2026-06-16 23:00:00+00:00,136.5
2025-04-01,2026-06-16 23:00:00+00:00,138.2
2025-05-01,2026-06-16 23:00:00+00:00,138.4
2025-06-01,2026-06-16 23:00:00+00:00,138.9
2025-07-01,2026-06-16 23:00:00+00:00,139.0
2025-08-01,2026-06-16 23:00:00+00:00,139.3
2025-09-01,2026-06-16 23:00:00+00:00,139.3
2025-10-01,2026-06-16 23:00:00+00:00,139.8
2025-11-01,2026-06-16 23:00:00+00:00,139.5
2025-12-01,2026-06-16 23:00:00+00:00,140.1
2026-01-01,2026-06-16 23:00:00+00:00,139.5
2026-02-01,2026-06-16 23:00:00+00:00,140.1
2026-03-01,2026-06-16 23:00:00+00:00,141.0
2026-04-01,2026-06-16 23:00:00+00:00,142.1
2026-05-01,2026-06-16 23:00:00+00:00,142.4
