date,realtime_start,value
2013-01-01,2026-03-30 23:00:00+00:00,-19326
2013-04-01,2026-03-30 23:00:00+00:00,-17657
2013-07-01,2026-03-30 23:00:00+00:00,-19933
2013-10-01,2026-03-30 23:00:00+00:00,-23851
2014-01-01,2026-03-30 23:00:00+00:00,-18200
2014-04-01,2026-03-30 23:00:00+00:00,-18256
2014-07-01,2026-03-30 23:00:00+00:00,-22073
2014-10-01,2026-03-30 23:00:00+00:00,-31769
2015-01-01,2026-03-30 23:00:00+00:00,-25776
2015-04-01,2026-03-30 23:00:00+00:00,-14221
2015-07-01,2026-03-30 23:00:00+00:00,-20413
2015-10-01,2026-03-30 23:00:00+00:00,-31796
2016-01-01,2026-03-30 23:00:00+00:00,-27970
2016-04-01,2026-03-30 23:00:00+00:00,-25159
2016-07-01,2026-03-30 23:00:00+00:00,-32707
2016-10-01,2026-03-30 23:00:00+00:00,-19315
2017-01-01,2026-03-30 23:00:00+00:00,-15445
2017-04-01,2026-03-30 23:00:00+00:00,-22652
2017-07-01,2026-03-30 23:00:00+00:00,-17213
2017-10-01,2026-03-30 23:00:00+00:00,-15565
2018-01-01,2026-03-30 23:00:00+00:00,-20949
2018-04-01,2026-03-30 23:00:00+00:00,-16834
2018-07-01,2026-03-30 23:00:00+00:00,-18810
2018-10-01,2026-03-30 23:00:00+00:00,-24249
2019-01-01,2026-03-30 23:00:00+00:00,-32956
2019-04-01,2026-03-30 23:00:00+00:00,-13056
2019-07-01,2026-03-30 23:00:00+00:00,-12872
2019-10-01,2026-03-30 23:00:00+00:00,3022
2020-01-01,2026-03-30 23:00:00+00:00,-12605
2020-04-01,2026-03-30 23:00:00+00:00,-8224
2020-07-01,2026-03-30 23:00:00+00:00,-9335
2020-10-01,2026-03-30 23:00:00+00:00,-27636
2021-01-01,2026-03-30 23:00:00+00:00,-3355
2021-04-01,2026-03-30 23:00:00+00:00,5008
2021-07-01,2026-03-30 23:00:00+00:00,-15561
2021-10-01,2026-03-30 23:00:00+00:00,-3652
2022-01-01,2026-03-30 23:00:00+00:00,-36480
2022-04-01,2026-03-30 23:00:00+00:00,-15794
2022-07-01,2026-03-30 23:00:00+00:00,-2431
2022-10-01,2026-03-30 23:00:00+00:00,5258
2023-01-01,2026-03-30 23:00:00+00:00,-19791
2023-04-01,2026-03-30 23:00:00+00:00,-34682
2023-07-01,2026-03-30 23:00:00+00:00,-15739
2023-10-01,2026-03-30 23:00:00+00:00,-28045
2024-01-01,2026-03-30 23:00:00+00:00,-20844
2024-04-01,2026-03-30 23:00:00+00:00,-23332
2024-07-01,2026-03-30 23:00:00+00:00,-13894
2024-10-01,2026-03-30 23:00:00+00:00,-27596
2025-01-01,2026-03-30 23:00:00+00:00,-21410
2025-04-01,2026-03-30 23:00:00+00:00,-23214
2025-07-01,2026-03-30 23:00:00+00:00,-10689
2025-10-01,2026-03-30 23:00:00+00:00,-18392
