date,realtime_start,value
2013-01-01,2013-05-30,579749.0
2013-04-01,2013-08-29,583605.0
2013-07-01,2013-11-29,588076.0
2013-10-01,2014-03-01,591954.0
2014-01-01,2014-05-30,596696.0
2014-04-01,2014-08-29,602310.0
2014-07-01,2014-11-29,607213.0
2014-10-01,2015-03-01,611220.0
2015-01-01,2015-05-30,613076.0
2015-04-01,2015-08-29,615875.0
2015-07-01,2015-11-29,618263.0
2015-10-01,2016-02-29,621968.0
2016-01-01,2016-05-30,625099.0
2016-04-01,2016-08-29,629697.0
2016-07-01,2016-11-29,632477.0
2016-10-01,2017-03-01,636392.0
2017-01-01,2017-05-30,642463.0
2017-04-01,2017-08-29,647944.0
2017-07-01,2017-11-29,652329.0
2017-10-01,2018-03-01,657225.0
2018-01-01,2018-05-30,657741.0
2018-04-01,2018-08-29,659172.0
2018-07-01,2018-11-29,661262.0
2018-10-01,2019-03-01,662120.0
2019-01-01,2019-05-30,665456.0
2019-04-01,2019-08-29,666875.0
2019-07-01,2019-11-29,670547.0
2019-10-01,2020-02-29,670587.0
2020-01-01,2020-05-30,652180.0
2020-04-01,2020-08-29,522356.0
2020-07-01,2020-11-29,610972.0
2020-10-01,2021-03-01,619330.0
2021-01-01,2021-05-30,612665.0
2021-04-01,2021-08-29,655443.0
2021-07-01,2021-11-29,666498.0
2021-10-01,2022-03-01,675680.0
2022-01-01,2022-05-30,682527.0
2022-04-01,2022-08-29,686335.0
2022-07-01,2022-11-29,687029.0
2022-10-01,2023-03-01,688817.0
2023-01-01,2023-05-30,689206.0
2023-04-01,2023-08-29,689491.0
2023-07-01,2023-11-29,687839.0
2023-10-01,2024-02-29,685628.0
2024-01-01,2024-05-30,690605.0
2024-04-01,2024-08-29,694810.0
2024-07-01,2024-11-29,696183.0
2024-10-01,2025-03-01,699177.0
