date,realtime_start,value
2014-01-01,2014-02-20,234.933
2014-02-01,2014-03-18,235.169
2014-03-01,2014-04-15,235.64
2014-04-01,2014-05-15,236.254
2014-05-01,2014-06-17,237.083
2014-06-01,2014-07-22,237.693
2014-07-01,2014-08-19,237.909
2014-08-01,2014-09-17,237.428
2014-09-01,2014-10-22,237.633
2014-10-01,2014-11-20,237.642
2014-11-01,2014-12-17,237.032
2014-01-01,2015-01-06,234.933
2014-02-01,2015-01-06,235.169
2014-03-01,2015-01-06,235.64
2014-04-01,2015-01-06,236.254
2014-05-01,2015-01-06,237.083
2014-06-01,2015-01-06,237.693
2014-07-01,2015-01-06,237.909
2014-08-01,2015-01-06,237.428
2014-09-01,2015-01-06,237.633
2014-10-01,2015-01-06,237.642
2014-11-01,2015-01-06,237.032
2014-12-01,2015-01-16,236.149
2014-07-01,2015-02-20,237.596
2014-10-01,2015-02-20,237.753
2014-11-01,2015-02-20,237.067
2014-12-01,2015-02-20,236.284
2014-08-01,2015-02-20,237.409
2014-01-01,2015-02-20,235.128
2014-02-01,2015-02-20,235.356
2014-03-01,2015-02-20,235.79
2014-04-01,2015-02-20,236.24
2014-05-01,2015-02-20,236.95
2014-09-01,2015-02-20,237.626
2014-06-01,2015-02-20,237.348
2015-01-01,2015-02-26,234.677
2015-02-01,2015-03-24,235.186
2015-03-01,2015-04-17,235.74
2015-04-01,2015-05-22,235.982
2015-05-01,2015-06-18,237.031
2015-06-01,2015-07-17,237.786
2015-07-01,2015-08-19,238.099
2015-08-01,2015-09-16,237.931
2015-09-01,2015-10-15,237.566
2015-10-01,2015-11-17,238.042
2015-11-01,2015-12-15,238.111
2015-12-01,2016-01-20,237.847
2014-05-01,2016-02-19,236.803
2015-02-01,2016-02-19,235.415
2014-04-01,2016-02-19,236.495
2014-03-01,2016-02-19,235.897
2015-12-01,2016-02-19,238.041
2016-01-01,2016-02-19,238.107
2014-02-01,2016-02-19,235.621
2015-10-01,2016-02-19,237.949
2014-07-01,2016-02-19,237.259
2014-06-01,2016-02-19,237.016
2015-08-01,2016-02-19,237.703
2015-07-01,2016-02-19,237.734
2014-08-01,2016-02-19,237.163
2015-06-01,2016-02-19,237.423
2015-05-01,2016-02-19,236.876
2014-09-01,2016-02-19,237.51
2015-04-01,2016-02-19,236.197
2014-10-01,2016-02-19,237.651
2014-11-01,2016-02-19,237.261
2015-03-01,2016-02-19,235.859
2014-12-01,2016-02-19,236.464
2015-01-01,2016-02-19,234.954
2015-09-01,2016-02-19,237.489
2015-11-01,2016-02-19,238.302
2014-01-01,2016-02-19,235.436
2016-02-01,2016-03-16,237.707
2016-03-01,2016-04-14,237.92
2016-04-01,2016-05-17,238.89
