date,realtime_start,value
2014-01-01,2014-06-18,-111156.0
2014-01-01,2014-09-17,-102111.0
2014-04-01,2014-09-17,-98506.0
2014-07-01,2014-12-17,-100255.0
2014-04-01,2014-12-17,-98417.0
2014-07-01,2015-01-06,-100255.0
2014-04-01,2015-01-06,-98417.0
2014-01-01,2015-01-06,-102111.0
2014-04-01,2015-03-19,-97288.0
2014-01-01,2015-03-19,-100969.0
2014-07-01,2015-03-19,-98919.0
2014-10-01,2015-03-19,-113451.0
2015-01-01,2015-06-18,-113337.0
2014-10-01,2015-06-18,-103138.0
2014-07-01,2015-06-18,-97905.0
2014-04-01,2015-06-18,-92039.0
2014-01-01,2015-06-18,-96443.0
2015-04-01,2015-09-17,-109676.0
2015-01-01,2015-09-17,-118295.0
2015-04-01,2015-12-17,-111091.0
2015-07-01,2015-12-17,-124123.0
2015-01-01,2016-03-17,-118035.0
2015-04-01,2016-03-17,-110798.0
2015-07-01,2016-03-17,-129930.0
2015-10-01,2016-03-17,-125314.0
2014-01-01,2016-06-16,-94654.0
2014-07-01,2016-06-16,-95619.0
2015-01-01,2016-06-16,-114549.0
2015-04-01,2016-06-16,-111904.0
2014-10-01,2016-06-16,-107726.0
2015-07-01,2016-06-16,-123106.0
2015-10-01,2016-06-16,-113406.0
2014-04-01,2016-06-16,-94060.0
2016-01-01,2016-06-16,-124671.0
2016-01-01,2016-09-15,-131838.0
2016-04-01,2016-09-15,-119885.0
2016-04-01,2016-12-15,-118271.0
2016-07-01,2016-12-15,-112958.0
2016-07-01,2017-03-21,-116007.0
2016-04-01,2017-03-21,-119745.0
2016-01-01,2017-03-21,-133072.0
2016-10-01,2017-03-21,-112382.0
2014-07-01,2017-06-20,-91881.0
2014-04-01,2017-06-20,-87897.0
2014-10-01,2017-06-20,-102751.0
2015-01-01,2017-06-20,-108029.0
2014-01-01,2017-06-20,-91271.0
2015-04-01,2017-06-20,-106496.0
2015-07-01,2017-06-20,-116563.0
2015-10-01,2017-06-20,-103509.0
2016-01-01,2017-06-20,-119210.0
2016-04-01,2017-06-20,-108200.0
2016-07-01,2017-06-20,-110270.0
2016-10-01,2017-06-20,-114006.0
2017-01-01,2017-06-20,-116781.0
2017-01-01,2017-09-19,-113533.0
2017-04-01,2017-09-19,-123137.0
2017-07-01,2017-12-19,-100566.0
2017-04-01,2017-12-19,-124397.0
2017-07-01,2018-01-07,-100566.0
2017-04-01,2018-01-07,-124397.0
2017-01-01,2018-01-07,-113533.0
2016-10-01,2018-01-07,-114006.0
2016-07-01,2018-01-07,-110270.0
2016-01-01,2018-01-07,-119210.0
2015-10-01,2018-01-07,-103509.0
2015-07-01,2018-01-07,-116563.0
2015-04-01,2018-01-07,-106496.0
2015-01-01,2018-01-07,-108029.0
2014-10-01,2018-01-07,-102751.0
2014-07-01,2018-01-07,-91881.0
2014-04-01,2018-01-07,-87897.0
2014-01-01,2018-01-07,-91271.0
2016-04-01,2018-01-07,-108200.0
2017-04-01,2018-03-21,-123742.0
2017-01-01,2018-03-21,-112871.0
2017-10-01,2018-03-21,-128158.0
2017-07-01,2018-03-21,-101475.0
2017-10-01,2018-06-20,-116148.0
2015-10-01,2018-06-20,-99616.0
2015-07-01,2018-06-20,-109550.0
2015-04-01,2018-06-20,-96999.0
2016-01-01,2018-06-20,-111901.0
2015-01-01,2018-06-20,-101600.0
2014-07-01,2018-06-20,-87807.0
2014-10-01,2018-06-20,-101749.0
2014-04-01,2018-06-20,-86110.0
2018-01-01,2018-06-20,-124105.0
2017-01-01,2018-06-20,-107709.0
2016-04-01,2018-06-20,-103057.0
