date,realtime_start,value
2014-01-01,2014-04-30,17149.6
2014-01-01,2014-05-29,17101.3
2014-01-01,2014-06-25,17016.0
2014-04-01,2014-07-30,17294.7
2014-01-01,2014-07-30,17044.0
2014-04-01,2014-08-28,17311.3
2014-04-01,2014-09-26,17328.2
2014-07-01,2014-10-30,17535.4
2014-07-01,2014-11-25,17555.2
2014-07-01,2014-12-23,17599.8
2014-07-01,2015-01-06,17599.8
2014-01-01,2015-01-06,17044.0
2014-04-01,2015-01-06,17328.2
2014-10-01,2015-01-30,17710.7
2014-10-01,2015-02-27,17701.3
2014-10-01,2015-03-27,17703.7
2015-01-01,2015-04-29,17710.0
2015-01-01,2015-05-29,17665.0
2015-01-01,2015-06-24,17693.3
2014-01-01,2015-07-30,16984.3
2014-07-01,2015-07-30,17522.1
2014-10-01,2015-07-30,17615.9
2015-01-01,2015-07-30,17649.3
2015-04-01,2015-07-30,17840.5
2014-04-01,2015-07-30,17270.0
2015-04-01,2015-08-27,17902.0
2015-04-01,2015-09-25,17913.7
2015-07-01,2015-10-29,18034.8
2015-07-01,2015-11-24,18064.7
2015-07-01,2015-12-22,18060.2
2015-10-01,2016-01-29,18128.2
2015-10-01,2016-02-26,18148.4
2015-10-01,2016-03-25,18164.8
2016-01-01,2016-04-28,18221.1
2016-01-01,2016-05-27,18229.5
2016-01-01,2016-06-28,18230.1
2015-07-01,2016-07-29,18141.9
2016-01-01,2016-07-29,18281.6
2016-04-01,2016-07-29,18437.6
2014-10-01,2016-07-29,17692.2
2015-01-01,2016-07-29,17783.6
2015-10-01,2016-07-29,18222.8
2014-07-01,2016-07-29,17569.4
2014-04-01,2016-07-29,17285.6
2015-04-01,2016-07-29,17998.3
2014-01-01,2016-07-29,17025.2
2016-04-01,2016-08-26,18436.5
2016-04-01,2016-09-29,18450.1
2016-07-01,2016-10-28,18651.2
2016-07-01,2016-11-29,18657.9
2016-07-01,2016-12-22,18675.3
2016-10-01,2017-01-27,18860.8
