dataset,model,fold,train_rows,test_rows,train_start,test_start,test_end,elapsed_s,accuracy,f1_macro,auc_roc,sharpe_proxy,max_drawdown
dataset_basic_daily,LR,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.86,0.7900763358778626,0.7836953421696513,0.843032786885246,0.2380239415142067,-0.0831732792143318
dataset_basic_daily,LR,3,1826,261,2014-01-02,2021-01-01,2021-12-31,1.34,0.7241379310344828,0.7178378378378378,0.8085896076352068,-0.5108621947885142,-0.0543897215237107
dataset_basic_daily,LR,4,2087,260,2014-01-02,2022-01-03,2022-12-30,1.35,0.7769230769230769,0.7634732417341112,0.9072,-0.3539085762155882,-0.0866292975553766
dataset_basic_daily,LR,5,2347,260,2014-01-02,2023-01-02,2023-12-29,1.29,0.6923076923076923,0.672461577223482,0.8855029585798817,0.4761625322986718,-0.0463136286674712
dataset_basic_daily,LR,final,2607,261,2014-01-02,2024-01-01,2024-12-30,1.4,0.6551724137931034,0.6292613636363636,0.8710380582066689,-0.4965296669034641,-0.0282376328531123
dataset_basic_daily,RF,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.42,0.5305343511450382,0.52749879037579,0.5907201405152225,-0.5247989235857369,-0.1306995667772968
dataset_basic_daily,RF,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.47,0.5938697318007663,0.5814270152505447,0.616619535760575,-0.75603285825899,-0.0445537517382361
dataset_basic_daily,RF,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.5,0.5961538461538461,0.5960044395116537,0.6558222222222222,0.0863338662710739,-0.1393163370620996
dataset_basic_daily,RF,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.55,0.55,0.5137390303553445,0.6168047337278106,0.2964516656277024,-0.0560002307828775
dataset_basic_daily,RF,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.62,0.5478927203065134,0.5235457920792079,0.5657476139978791,-0.7958679244693184,-0.0481871348013994
dataset_basic_daily,LR,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.78,0.7011494252873564,0.7009343048536844,0.8068557919621749,0.2995643952184549,-0.0783475430364501
dataset_basic_daily,RF,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.31,0.5402298850574713,0.5204556589906908,0.5891843971631205,0.1708716689576541,-0.0951705572340647
dataset_basic_daily,KNN,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.02,0.5210727969348659,0.5169886742171885,0.5236111111111111,0.2162576255025457,-0.0515635382064114
dataset_basic_daily,KNN,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.03,0.5305343511450382,0.5120451826840089,0.5147248243559719,1.5518707486759151,-0.0522362012799558
dataset_basic_daily,KNN,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.03,0.4789272030651341,0.3828070663513701,0.5552315305761754,-0.051832321131027,-0.0705588828102917
dataset_basic_daily,KNN,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.03,0.6076923076923076,0.6058029609370355,0.6166814814814816,-0.3806202407060918,-0.1352935685624906
dataset_basic_daily,KNN,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.04,0.5307692307692308,0.466890756302521,0.5721301775147929,0.5571437694152178,-0.0808156618779339
dataset_basic_daily,KNN,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.04,0.5823754789272031,0.5793870218962993,0.5963827029574643,0.0789856752906811,-0.0434371364609397
